Efficient bit allocation for an arbitrary set of quantizers [speech coding],"Y. Shoham, A. Gersho, ",1988,631,Analytical method for optimum non-negative integer bit allocation,A rate distortion optimal ECG coding algorithm,Adaptive unequal error protection for subband image coding,Efficient scalar quantization of exponential and Laplacian random variables,Quantization,Lossy source coding,Optimal bit allocation via the generalized BFOS algorithm,Hierarchical disparity estimation using spatial correlation,Dynamic rate scaling of coded digital video for IVOD applications,Joint rate-distortion coding of multiple videos,Rate-distortion based optimization for zerotree entropy wavelet coding,Compression of hyperspectral imagery using the 3-D DCT and hybrid DPCM/DCT,SAR image compression with the Gabor transform,Subband image coding using entropy-coded quantization over noisy channels,Optimal bit allocation for coding of video signals over ATM networks,Adaptive vector quantization using a self-development neural network,Optimization of quadtree segmentation and hybrid two-dimensional and three-dimensional motion estimation in a rate-distortion framework,A theory for the optimal bit allocation between displacement vector field and displaced frame difference,Object-oriented H.263 compatible video coding platform for conferencing applications,Adaptive source-channel subband video coding for wireless channels,Rate control for robust video transmission over burst-error wireless channels,Unequal loss protection: graceful degradation of image quality over packet erasure channels through forward error correction,Combined source-channel coding schemes for video transmission over an additive white Gaussian noise channel,Image coding with robust channel-optimized trellis-coded quantization,An end-to-end approach for optimal mode selection in Internet video communication: theory and application,SEAMA: a source encoding assisted multiple access protocol for wireless communications,MPEG-4 and rate-distortion-based shape-coding techniques,A review of the minimum maximum criterion for optimal bit allocation among dependent quantizers,Robust image and video transmission over spectrally shaped channels using multicarrier modulation,Adapting multimedia Internet content for universal access
Multi-user detection for DS-CDMA communications,"S. Moshavi, ",1996,630,Power allocation for a simple successive interference cancellation scheme in a multi-rate DS-CDMA system,Robust detection in DS-CDMA,Base station 2-dimensional reconfigurable receiver architecture for DS-CDMA,Performance of parallel interference cancellation with reverse-link synchronous transmission technique for DS-CDMA system in multipath fading channels,Performance evaluation of power control bit detection for an adaptive SIC receiver and the IS-95 downlink,More accurate performance analysis of interference canceler in an asynchronous DS-CDMA system over the multipath fading channel,Attenuation factors of multistage non-linear parallel interference cancellation with small spread factors,Parallel systolic array implementation of multiuser detection for asynchronous DS/CDMA,Performance of the decorrelating detector for convolutionally coded DS/CDMA systems,Analysis of an approximate decorrelating detector,Experiments on pilot symbol-assisted coherent multistage interference canceller for DS-CDMA mobile radio,A dual-mode multiuser detector for DS-CDMA systems,Interference subspace rejection: a framework for multiuser detection in wideband CDMA,Reduced and differential parallel interference cancellation for CDMA systems,Performances of multi-element multi-user detection strategies in a shallow-water acoustic network (SWAN),A new packet detection scheme in CDMA unslotted ALOHA system with successive interference cancellation,An outage-based fuzzy call admission control for WCDMA systems using multiuser detection,Combined MMSE-PIC in coded OFDM-CDMA systems,Managing code assignment in multi-code CDMA wireless networks for the delivery of H.263 video streams,Perturbation methods for canceling interference in CDMA systems,Parallel-type coherent multistage interference canceller with multiple-antenna reception in DS-CDMA reverse link,Multiuser detection for UTRA-TDD based on polynomial expansion,A new suboptimal multiuser detector based on orthogonal polynomial approximation,An improved hybrid multiuser interference cancellation scheme based on the clustering algorithm,Performance analysis of a 2-stage groupwise successive interference cancellation scheme with groupwise power disparities in DS/CDMA systems,Performance evaluation of a vector architecture for multiuser detection in CDMA communications,Steady-state analysis of the adaptive successive interference canceler for DS/CDMA signals,Orthogonal decision-feedback detector for asynchronous multiuser CDMA systems,A low-complexity iterative multiuser receiver for turbo-coded DS-CDMA systems,Genetic algorithm based antenna diversity assisted multiuser detection for synchronous CDMA systems
Multiple access with time-hopping impulse modulation,"R. Scholtz, ",1993,624,Analysis and Comparison of Inter-Symbol/Frame Interference in Pulsed DS- and Hybrid DS/TH-UWB Communications,Low-Complexity Reduced-Rank Adaptive Detection in Hybrid Direct-Sequence Time-Hopping Ultrawide Bandwidth Systems,Low-Complexity Reduced-Rank Interference Mitigation Algorithms for DS-UWB Systems,Performance Analysis of Cooperative Communication in the UWB Differential Transmitted Reference System,Capacity of M-ary PPM ultra-wideband communications over AWGN channels,New impulse radio receivers in multipath environments,System Capacity of a Multi-Time-Hopping PPM UWB System Supporting Variable Bit Rate Multiclass Services with Rake Receivers,On the Performance of Multiple Access Uncoded and Coded DS-BPAM UWB Systems,Performance of DPPAM UWB Communication Systems over Indoor Fading Channels,Coded Bit Modulation for UWB Impulse Radio,Ranging in the IEEE 802.15.4a Standard,Performance of ultra-wideband transmission with pulse position amplitude modulation and rake reception,Spatio-temporal diversity in ultra-wideband radio,Multiple access performance in UWB systems using time hopping vs. direct sequence spreading,Bit error rate analysis for TH-CDMA/PPM impulse radio networks,Pulse position amplitude modulation for time-hopping multiple access UWB communications,A generalized time domain multipath channel and its application in ultra-wide-band (UWB) wireless optimal receiver design: system performance analysis,A UWB repeater with a short relaying-delay for range extension,A self-organized clustering algorithm for UWB ad hoc networks,Performance analysis of variable bit rate multiclass services in a multi-time-hopping pulse position modulation UWB system,Receiver improvement for ultra-wideband transmitted-reference systems,Signal design for non-coherent UWB with PPM modulation in fading channels,Exact modeling of multiple access interference and BER derivation for TH-PPM UWB,Optimal and suboptimal finger selection algorithms for MMSE RAKE receivers in impulse radio ultra-wideband systems,Minimizing average network delay for ultra-wideband wireless networks,Kronecker Modelling for Correlated Shadowing in UWB MIMO Channels,Analytical Performance of M-ary TH-PPM UWB Systems with Multiple Users,A Polarization UWB Receiver with Narrowband Interference Suppression Capability,A TH-UWB Receiver with Near-MUD Performance for Multiple Access Interference Environments,Performance of PPM-Based Non-Coherent Impulse Radio UWB Systems using Sparse Codes in the Presence of Multi-User Interference
Representing moving images with layers,"J. Y. A. Wang, E. H. Adelson, ",1994,621,Motion Estimation using Region-Based Segmentation Methods,The Video Z-buffer: A Concept for Facilitating Monoscopic Image Compression by Exploiting the 3-D Stereoscopic Depth Map,Recursive estimation of 3D motion and surface structure from local affine flow parameters,A voting-based computational framework for visual motion analysis and interpretation,Dynamic Shape and Appearance Models,Stereo matching with linear superposition of layers,Joint multiregion segmentation and parametric estimation of image motion by basis function representation and level set evolution,A Fast Biologically Inspired Algorithm for Recurrent Motion Estimation,Modeling Clustering and Segmenting Video with Mixtures of Dynamic Textures,Layered Dynamic Textures,Linearized Motion Estimation for Articulated Planes,Bilayer Segmentation of Webcam Videos Using Tree-Based Classifiers,Layered Object Models for Image Segmentation,Layered Graphical Models for Tracking Partially Occluded Objects,Blind Separation of Superimposed Moving Images Using Image Statistics,On Bayesian Adaptive Video Super Resolution,Segmentation of Moving Objects by Long Term Video Analysis,Autonomous Document Cleaning—A Generative Approach to Reconstruct Strongly Corrupted Scanned Texts,Pose Estimation and Segmentation of Multiple People in Stereoscopic Movies,Real-Time Motion Segmentation of Sparse Feature Points at Any Speed,EXCOL: An EXtract-and-COmplete Layering Approach to Cartoon Animation Reusing,Constructing 3D natural scene from video sequences with vibrated motions,Background Subtraction for Temporally Irregular Dynamic Textures,Improving streaming video segmentation with early and mid-level visual processing,Multi-view dynamic texture learning,Adaptive Model Based on Voting Probabilistic Models for Image Tracking Algorithm,Segmentation and Tracking for Vision Based Human Robot Interaction,Managing the information flow in visual sensor networks,Layered representations for vision and video,Frame rate up-conversion using perspective transform
On beamforming with finite rate feedback in multiple-antenna systems,"K. K. Mukkavilli, A. Sabharwal, E. Erkip, B. Aazhang, ",2003,620
Design of low-density parity-check codes for modulation and detection,"S. ten Brink, G. Kramer, A. Ashikhmin, ",2004,619,Joint iterative decoding for LDPC-coded multi-relay cooperation with receive multi-antenna in the destination,Concatenated channel-and-network coding scheme for two-path successive relay network,Accumulate rateless codes and their performances over additive white gaussian noise channel,Performance analysis of protograph low-density parity-check codes for nakagami-m fading relay channels,Iterative detection and decoding for non-binary LDPC coded partial-response channels with written-in errors,Finite-length extrinsic information transfer analysis and design of protograph low-density parity-check codes for ultra-high-density magnetic recording channels,Design of expanding window fountain codes with unequal power allocation over BIAWGN channels,Joint LDPC and physical-layer network coding with incremental phase pre-rotation for two-way relaying,Simplified multiuser code design for MIMO–NOMA,Low-density parity check coded orthogonal frequency division multiplexing for PLC in non-Gaussian noise using LLRs derived from effective noise probability density functions,Analysis of LDPC code in the FH system with partial-band interference,Two Decades of MIMO Design Tradeoffs and Reduced-Complexity MIMO Detection in Near-Capacity Systems,Unitary Scrambling and Outer Code Design for MIMO Block Fading,SCCR LDPC Code for Ordered MIMO-OFDM Channels,Distributed and Layered Codes for Relaying,Performance and complexity tradeoffs of space-time modulation and coding schemes,Capacity of MIMO systems in shallow water acoustic channels,Protograph-based LDPC codes for partial response channels,Simple turbo MIMO scheme using arithmetic extended mapping and repetition codes,Iterative detection and decoding for MIMO systems with knowledge-aided belief propagation algorithms,Linear precoding for MIMO with LDPC coding and reduced receiver complexity,Design of q-ary Irregular Repeat-Accumulate Codes,EXIT-chart-based threshold calculation of LDPC code in 2D ISI channels,A comparison between BP log-likelihood and max log-likelihood decoding algorithms of LDPC codes based on EXIT chart and EXIT trajectories methods,Capacity approaching codes for the non-coherent FSK channel,Shaping EXIT functions of turbo codes,Puncturing optimization algorithm and its applications in free space communications,Multi-rate LDPC codes for DTV transmission by known-bits padding,Multiple-rate multiple-length QC-LDPC codes design with near shannon limit performance,Trade-off in LDPC coded MIMO systems with iterative and independent demapping
Overview of cellular CDMA,"W. C. Y. Lee, ",1991,619,A modified multi-stage co-channel interference cancellation in asynchronous CDMA systems,Interference cancellation for DS-CDMA systems over flat fading channels through pre-decorrelating,CDMA RAKE receiver for cellular mobile radio in Nakagami fading frequency selective channels,User capacity analysis of an indoor wireless DS CDMA system using measured delay profiles on 2.4 GHz,Future CDMA cellular mobile systems supporting multi-service operation,Increasing system capacity in PCS,Performance and capacity evaluations of CDMA mobile radio systems-forward link analysis,Impact of non-uniform spatial traffic distribution on cellular CDMA performance,Multistage joint detection with decision feedback for CDMA mobile radio applications,Capacity evaluation with time base analysis in W-CDMA system,Interference analysis of cellular system due to HAPS system to provide IMT-2000 service,Modeling and characterization of multi-rate direct sequence CDMA system using dynamic resource allocation scheme,Block coded 16 QAM-TDMA cellular radio system using cyclical slow frequency hopping,Architectural design of a code division multiple access cellular system,Operational advantages of the AT&amp;T CDMA cellular system,MQAM/CDMA for increased cellular capacity,High capacity TDMA cellular system using coded 16QAM and cyclical slow frequency hopping,Frequency selective fading model on near-far problem in M-ary CDMA communication,A spread spectrum communication system without reference signal for frequency-selective fading channel,On-off keying assisted acquisition scheme for burst mode DS/SS packet radio,CODSIM-a simulation environment for spreading codes,Performance and capacity evaluations of CDMA mobile radio systems - reverse link analysis,CDMA digital cellular: field test results,Pre-decorrelating single user detection for CDMA systems,A spread spectrum wireless LAN based on interference cancellation techniques,On the detection of antipodal Rayleigh fading signals in severe co-channel interference,Adaptive array methods for mobile communication,Key elements in designing a CDMA system,Multiplexing capacities in mobile air/ground radio communication systems employing cylindrical cells,Path diversity technology based on multiple path selection for a direct sequence spread spectrum communication system
Image coding using vector quantization: a review,"N. M. Nasrabadi, R. A. King, ",1988,617,Index compression for vector quantisation using modified coding tree assignment scheme,Enhanced side match vector quantisation based on constructing complementary state codebook,High-quality initial codebook design method of vector quantisation using grouping strategy,Quantization,Vector quantization for texture classification,Moment preserving quantization (signal processing),Variable rate vector quantization for speech image and video compression,Block adaptive quantization of images,Multilevel block truncation coding using a minimax error criterion for high-fidelity compression of digital images,A method of block truncation coding for color image compression,Dynamic finite-state vector quantization of digital images,,Polynomial approximation and vector quantization: a region-based integration,A fuzzy classified vector quantizer for image coding,Comparison between several adaptive search vector quantization schemes and JPEG standard for image compression,A fast search algorithm for vector quantization using mean pyramids of codewords,DCRVQ: a new strategy for efficient entropy coding of vector-quantized images,Noiseless coding of VQ index using index grouping algorithm,Visual pattern image coding,Image compression using address-vector quantization,BTC-VQ-DCT hybrid coding of digital images,The Hermite transform-theory,A neural network based image compression system,A motion dependent vector quantizer with multiple sub-codebooks for image coding,A fast vector quantization encoder for video coding,Predictive mean search algorithms for fast VQ encoding of images,Storage and retrieval of compressed images,An adaptive hybrid coding scheme for HDTV and digital video sequences,A new efficient image compression technique with index-matching vector quantization,A novel VQ codebook design technique
"Software Function, Source Lines of Code, and Development Effort Prediction: A Software Science Validation","A. J. Albrecht, J. E. Gaffney, ",1983,614,Software development efforts prediction using artificial neural network,A specific decision support system (SDSS) to develop an optimal project portfolio mix under uncertainty,A win-win metric based software management approach,The viability of using COCOMO in the special application software bidding and estimating process,Case studies of software-process-improvement measurement,The next 10000/sub 2/ years. II,Representing open requirements with a fragment-based specification,A software size model,Methodology for validating software metrics,Software effort models for early estimation of process control applications,Improving the reliability of function point measurement: an empirical study,A comparison of function point counting techniques,Simulation and comparison of Albrecht's function point and DeMarco's function bang metrics in a CASE environment,Automating output size and reuse metrics in a repository-based computer-aided software engineering (CASE) environment,Software development cost estimation using function points,A Bayesian analysis of the logarithmic-Poisson execution time model based on expert opinion and failure data,Function points in the estimation and evaluation of the software process,Function point analysis: difficulties and improvements,Software size estimation of object-oriented systems,An economic model to estimate software rewriting and replacement times,Function points analysis: an empirical study of its measurement processes,Evaluating alternative software production functions,Estimating software project effort using analogies,Communication metrics for software development,Validation of an approach for improving existing measurement frameworks,Modeling software measurement data,Software cost estimation with incomplete data,Estimating size and effort in fourth-generation development,The software rush hour (software engineering),Improving size estimates using historical data
Class of algorithms for decoding block codes with channel measurement information,"D. Chase, ",1972,613,Soft decision iterative error and erasure decoder for Reed–Solomon codes,Algebraic decoding of the (71 36 11) quadratic residue code,Geometrical and performance analysis of GMD and Chase decoding algorithms,Generalized minimum distance decoding in Euclidean space: performance analysis,Reduced lists of error patterns for maximum likelihood soft decoding,On algebraic soft-decision decoding algorithms for BCH codes,Error performance analysis for reliability-based decoding algorithms,Performance analysis of RS-coded M-ary FSK for frequency-hopping spread spectrum mobile radios,Performance comparison of different decoding strategies for a bandwidth-efficient block-coded scheme on mobile radio channels,Hybrid ARQ scheme using interleaved Reed-Solomon codes in a power-controlled DS-CDMA cellular system,Decoding performance of linear block codes using a trellis in digital mobile radio,Uncoded and coded performance of MFSK and DPSK in Nakagami fading channels,Bandwidth efficient communication via a Rayleigh fading channel using RS coded multiphase signaling,Soft syndrome decoding of binary convolutional codes,Matched spectral-null codes with soft-decision outputs,A geometric approach to incomplete soft decision block decoding,Near-optimum decoding of product codes: block turbo codes,Iterative maximum-likelihood trellis decoding for block codes,Quantization issues for soft-decision decoding of linear block codes,Chase-type and GMD coset decodings,Fast Chase algorithm with an application in turbo decoding,On multilevel codes and iterative multistage decoding,A syndrome-based hybrid decoder for turbo product codes,On combining Chase-2 and GMD decoding algorithms for nonbinary block codes,A parallel decoder for low latency decoding of turbo product codes,Turbo Product Code for Flat-Fading Channels with Pulse Jamming,Performance evaluation of Viterbi decoded binary and non-binary linear block codes in flat fading channels,A rate-distortion perspective on multiple decoding attempts for Reed-Solomon codes,Distributed turbo block codes in wireless relay networks,Low Latency Algorithms of Iterative Codes for Wireless Broadband Communication Systems
A new multilevel coding method using error-correcting codes,"H. Imai, S. Hirakawa, ",1977,609,Block-coded modulation optimized for finite error rate on the white Gaussian noise channel,On linear structure and phase rotation invariant properties of block M-PSK modulation codes,Some decomposable codes: the |a+x|b+x|a+b+x| construction,On the spectrum of distances of a multilevel code decoded by a multistage decoder,On the calculation of the error probability for a multilevel modulation scheme using QAM-signaling,Block-coded PSK modulation using two-level group codes over dihedral groups,Efficient LLR estimation for multistage decoding,Set partitioning of Gaussian integer constellations and its application to two-dimensional interleaving,Recursive method for generating column weight 3 low-density parity-check codes based on three-partite graphs,Cooperative multilevel dynamic space–time trellis coding scheme for improved system performance,Parameter optimization and simulated performance of a DVB-T digital television broadcasting system,Multilevel RS/convolutional concatenated coded QAM for hybrid IBOC-AM broadcasting,Block codes for efficient multistage encoded modulation,Block coded modulation for the QS-CDMA system,Robust distributed video compression based on multilevel coset codes,Iterative multiuser receiver for multiresolution broadcasting,Multi-service data dissemination for space-based augmentation systems,Performance of low-density parity-check codes with 16-QAM in fading channels,Information rates of the noncoherent frequency selective fading channel,On the capacity of the symbol-asynchronous relay channel,Achieving the secrecy capacity of the AWGN wiretap channel via multilevel coding,Multilevel transmission technology for broadcasting data,Iterative phase recovery method of turbo-coded 16QAM based on soft symbol to bit mapping,The systematic design method for coded modulation on fading channels,Multilevel transmission scheme in single frequency networks,Modulation and coding for linear Gaussian channels,Applications of error-control coding,The art of signaling: fifty years of coding theory,Block-coded modulation using two-level group codes over generalized quaternion groups,Multilevel codes: theoretical concepts and practical design rules
Image representation using 2D Gabor wavelets,"Tai Sing Lee, ",1996,608,Estimation of disparity map of stereo image pairs using spatial domain local Gabor wavelet,Asymmetric occlusion detection using linear regression and weight-based filling for stereo disparity map estimation,Object recognition robust under translations deformations and changes in background,Analysis of asymmetry in mammograms via directional filtering with Gabor wavelets,A neural classifier enabling high-throughput topological analysis of lymphocytes in tissue sections,Invisibility and application functionalities in perceptual watermarking an overview,Subband dictionaries for low-cost matching pursuits of video residues,Hypercomplex signals-a novel extension of the analytic signal to the multidimensional case,Mallat’s Scattering Transform Based Anomaly Sensing for Detection of Seizures in Scalp EEG,A Fast Alternative for Template Matching: An ObjectCode Method,Steerable second order intensity features for pedestrian detection,Active facial tracking for fatigue detection,Novel Approaches for Minutiae Verification in Fingerprint Images,Comparison between geometry-based and Gabor-wavelets-based facial expression recognition using multi-layer perceptron,Evaluation of Gabor-wavelet-based facial action unit recognition in image sequences of increasing complexity,Reduced complexity enhancement of steganalysis of LSB-matching image steganography,Face Verification with Gabor Representation and Support Vector Machines,Feature-aging for age-invariant face recognition,Tera-scale performance image stream processor with SoC architecture for multimedia content analysis,Classification of scenes based on multiway feature extraction,Evaluation and Selection of Discriminating Gabor Features for Face Recognition,Combined Learning of Salient Local Descriptors and Distance Metrics for Image Set Face Verification,A group of facial normal descriptors for recognizing 3D identical twins,Road vanishing-point detection: A multi-population genetic algorithm based approach,Edge detection of plant roots image via Gabor wavelet theory,Fruit recognition based on multi-feature and multi-decision,Image reconstruction via non-isotropic diffusion in Dubins/Reed-Shepp-like control systems,Zebra-crossing detection based on geometric feature and vertical vanishing point,A Fast Palm Print Verification System,A Logistics Vehicle Classification Method Based Gabor Wavelet Feature Tracking
Code Combining - A Maximum-Likelihood Decoding Approach for Combining an Arbitrary Number of Noisy Packets,"D. Chase, ",1985,607,Low latency hybrid ARQ method using channel state information before channel decoding,Simplified analysis of HARQ cooperative networks using finite-state Markov chains,Optimizing the energy efficiency of short term ultra reliable communications in vehicular networks,A Novel Adaptive Hybrid-ARQ Protocol for Machine-to-Machine Communications,Design and Analysis of Bit Selections in HARQ Algorithm for Hybrid FSO/RF Channels,Hybrid ARQ Performance Improvement with Decoder Input Refining,Iterative Decoding of Network Coding HARQ in LDPC System,Multiuser Detection of Co-Channel Systems Using Combination of Basic Network Coding and HARQ,A Novel Remapping-Based Joint Detection Algorithm for Network Coding HARQ-CC Schemes,Hybrid automatic repeat request protocols: Turbo-Codes against Cyclic Binary low-density parity-check codes,An efficient ARQ scheme using soft output demodulation in Rayleigh fading channel,Wireless infrared in-house communications: how to achieve very high bit rates,Reliability exchange schemes for iterative packet combining in distributed arrays,Blind recognition of retransmitted packets for HARQ system,Fast packet scheduling algorithm based on instantaneous SIR with constraint condition assuring minimum throughput in forward link,Soft combining hybrid ARQ schemes application to reliable communications within 3G wireless networks,Comparison of code combining and MRC diversity reception in mobile communications,Constellations design for multiple transmissions maximizing the minimum squared Euclidean distance,A Novel Antenna Allocation in V-BLAST System with Hybrid ARQ,Joint Hybrid ARQ and Iterative Space-Time Equalization for Coded Transmission over the MIMO-ISI Channel,Research on Hybrid-ARQ Chase Combining Algorithms in ZF-SIC V-BLAST,On-Demand Cooperation MAC Protocols with Optimal Diversity-Multiplexing Tradeoff,Ghost femtocells: A novel radio resource management scheme for OFDMA based networks,Relay switching aided turbo coded Hybrid-ARQ for correlated fading channel,Optimal rate selection scheme in a two-hop relay network adopting Chase combining HARQ in Rayleigh block-fading channels,Improved HARQ based on network coding and its application in LTE,Throughput analysis of hybrid single-packet and multiple-packet truncated type-II HARQ strategies with unreliable feedback channel,An efficient iterative frequency domain equalization for relay-assisted ARQ single carrier transmissions,On the performance of adaptive HARQ with no channel state information feedback,A novel mapping criterion scheme for MCS selection in CDMA based HARQ systems
Network Coding for Distributed Storage Systems,"Alexandros G. Dimakis, P. Brighten Godfrey, Yunnan Wu, Martin J. Wainwright, Kannan Ramchandran, ",2010,607,HFR code: a flexible replication scheme for cloud storage systems,Concurrent regenerating codes,Caching efficiency of information-centric networking,Design cost versus access cost trade-off in distributed storage systems: A combinatorial approach,Edge Caching at Base Stations With Device-to-Device Offloading,Bandwidth Overhead-Free Data Reconstruction Scheme for Distributed Storage Code With Low Decoding Complexity,Minimum Storage Regenerating Codes for Scalable Distributed Storage,Towards Green IoT Networking: Performance Optimization of Network Coding Based Communication and Reliable Storage,General Fractional Repetition Codes From Combinatorial Designs,Asymptotic interference alignment for exact repair in distributed storage systems,Convolutional network codes for reliable point-to-point wireless communication,Constructions of fractional repetition codes from combinatorial designs,Can linear minimum storage regenerating codes be universally secure?,Towards green distributed storage systems,A New Efficient and Secure POR Scheme Based on Network Coding,Practical Single Node Failure Recovery Using Fractional Repetition Codes in Data Centers,Fractional repetition codes for repair in distributed storage systems,New bounds for distributed storage systems with secure repair,On a weakly secure regenerating code construction for minimum storage regime,Repair-efficient distributed storage codes with heterogeneous reliability requirements,When and by how much can helper node selection improve regenerating codes?,Use of erasure code for low latency cloud storage,Durable network coded distributed storage,A probabilistic approach towards exact-repair regeneration codes,Symmetry reduction of information inequalities,Centralized multi-node repair in distributed storage,Replicated convolutional codes: A design framework for repair-efficient distributed storage codes,Local erasure correction codes with unequal locality profile,Rank-metric codes with local recoverability,Efficient data access in hybrid cloud storage
Analysis of sum-product decoding of low-density parity-check codes using a Gaussian approximation,"Sae-Young Chung, T. J. Richardson, R. L. Urbanke, ",2001,602,Modified majority logic decoding of Reed–Muller codes using factor graphs,Dynamic source–channel coding for estimation and control over binary symmetric channels,Bounds on the performance of belief propagation decoding,On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Iterative turbo decoder analysis based on density evolution,Performance analysis and code optimization of low density parity-check codes on Rayleigh fading channels,An Efficient Construction Method for Quasi-Cyclic Low Density Parity Check Codes,Does Gaussian Approximation Work Well for the Long-Length Polar Code Construction?,Two Decades of MIMO Design Tradeoffs and Reduced-Complexity MIMO Detection in Near-Capacity Systems,When NOMA Meets Sparse Signal Processing: Asymptotic Performance Analysis and Optimal Sequence Design,Information-Optimum LDPC Decoders Based on the Information Bottleneck Method,On the Gaussian approximation in the analysis of iterative MIMO processing,Source-optimized irregular repeat accumulate codes with inherent unequal error protection capabilities and their application to image transmission,Optimum frame synchronization for preamble-less packet transmission of turbo codes,Rate-Adaptive Distributed Source Coding using Low-Density Parity-Check Codes,A Systematic Construction of LDPC Codes for Relay Channel in Time-Division mode,Distributed Decoding in Cooperative Communications,Noisy belief propagation decoder,Generalized EXIT chars for irregular LDPC codes,Joint decoding of RAID-ECC solutions for SSDs,On iterative decoding of polar codes: Schedule-dependent performance and constructions,EXIT-chart-based threshold calculation of LDPC code in 2D ISI channels,Combined optimization scheme for degree distributions of LDPC codes,Configurable High Throughput Irregular LDPC Decoder Architecture: Tradeoff Analysis and Implementation,Design and implementation of channel coding for underwater acoustic system,A comparison between BP log-likelihood and max log-likelihood decoding algorithms of LDPC codes based on EXIT chart and EXIT trajectories methods,Error floor approximation for LDPC codes in the AWGN channel,Generalized Belief Propagation to break trapping sets in LDPC codes,Selective bit mapping for Chinese DTMB LDPC coded QAM modulation scheme,Serial scheduling algorithm of LDPC decoding for multimedia transmission
The CNN universal machine: an analogic array computer,"T. Roska, L. O. Chua, ",1993,599,Cellular neural network friendly convolutional neural networks — CNNs with CNNs,Toward CNN chip-specific robustness,A ranked order filter implementation for parallel analog processing,ACE16k: the third generation of mixed-signal SIMD-CNN ACE chips toward VSoCs,Design of the processing core of a mixed-signal CMOS DTCNN chip for pixel-level snakes,Periodic oscillations and bifurcations in cellular nonlinear networks,Cellular multiadaptive analogic architecture: a computational framework for UAV applications,Implementation of a pixel-level snake algorithm on a CNNUM-based chip set architecture,Adaptive perception with locally adaptable sensor array,Second-order neural core for bioinspired focal-plane dynamic image processing in CMOS,Guest Editorial,Neuromorphic implementation of orientation hypercolumns,A real-time multitarget tracking system with robust multichannel CNN-UM algorithms,High-performance Viterbi decoder with circularly connected 2-D CNN unilateral cell array,Realization of Boolean Functions via CNN: Mathematical Theory LSBF and Template Design,Dynamical Analysis of Full-Range Cellular Neural Networks by Exploiting Differential Variational Inequalities,The Design and Analysis of a CMOS Low-Power Large-Neighborhood CNN With Propagating Connections,Periodic Oscillations in Weakly Connected Cellular Nonlinear Networks,Stable Patterns Realized by a Class of One-Dimensional Two-Layer CNNs,Design and Analysis of a CMOS Ratio-Memory Cellular Nonlinear Network (RMCNN) Requiring No Elapsed Time,Neural Synaptic Weighting With a Pulse-Based Memristor Circuit,Physically Unclonable Functions Derived From Cellular Neural Networks,Convergent Dynamics of Nonreciprocal Differential Variational Inequalities Modeling Neural Networks,On Turing Instability in Nonhomogeneous Reaction-Diffusion CNN’s,Cellular Neural Networks With Virtual Template Expansion for Retinal Vessel Segmentation,Cellular Neural Networks With Transient Chaos,A Simple Programmable Autowave Generator Network for Wave Computing Applications,Perceptron Implementation of Triple-Valued Logic Operations,Motion estimation computational complexity reduction with CNN shape segmentation,Neural networks in teletraffic control: pro et contra?
A perfectly matched anisotropic absorber for use as an absorbing boundary condition,"Z. S. Sacks, D. M. Kingsland, R. Lee, Jin-Fa Lee, ",1995,598,A study of the condition number of various finite element matrices involved in the numerical solution of Maxwell's equations,Finite-difference and pseudospectral time-domain methods applied to backward-wave metamaterials,Perfectly matched layer in three dimensions for the time-domain finite element method applied to radiation problems,Modeling and simulation of broad-band antennas using the time-domain finite element method,Anisotropic-medium PML for vector FETD with modified basis functions,Analysis of Perfectly Matched Double Negative Layers Via Complex Coordinate Transformations,UWB Dual-Linear Polarization Dielectric Horn Antennas as Reflector Feeds,Non-Maxwellian Locally-Conformal PML Absorbers for Finite Element Mesh Truncation,Second-Order Perfectly Matched Layers for the Time-Domain Finite-Element Method,Conservative and Provably Stable FDTD Subgridding,Conformal Perfectly Matched Layer for the Mixed Finite Element Time-Domain Method,The Lobatto Cell: Robust Explicit Higher Order FDTD That Handles Inhomogeneous Media,Time-Domain Finite-Difference and Finite-Element Methods for Maxwell Equations in Complex Media,Finite Element Analysis of Complex Antennas and Arrays,An Improved New Implementation of Complex Frequency Shifted PML for the FDTD Method,An Auxiliary Differential Equation Formulation for the Complex-Frequency Shifted PML,Development of the CPML for Three-Dimensional Unconditionally Stable LOD-FDTD Method,Analysis of the Discretization Error at Material Interfaces in Staggered Grids,Interior Penalty Discontinuous Galerkin Finite Element Method for the Time-Dependent First Order Maxwell's Equations,A Domain Decomposition Technique for Efficient Iterative Solution of Nonlinear Electromagnetic Problems,Near-Field PML Optimization for Low and High Order FDTD Algorithms Using Closed-Form Predictive Equations,Unsplit Implementation of Higher Order PMLs,Reflection From Stratified Media Backed by a Perfect Electromagnetic Conductor (PEMC),Towards Experimental Perfectly-Matched Layers With Ultra-Thin Metamaterial Surfaces,Marching-on-in-Degree Solver of Time-Domain Finite Element-Boundary Integral Method for Transient Electromagnetic Analysis,Symmetric Absorbers Realized as Gratings of PEC Cylinders Covered by Ordinary Dielectrics,3-D Electromagnetic Scattering Computation in Free-Space With the FETI-FDP2 Method,Embedding the Behavior Macromodel Into TDIE for Transient Field-Circuit Simulations,Anisotropic Locally Conformal Perfectly Matched Layer for Higher Order Curvilinear Finite-Element Modeling,Millimeter-wave sensitivity of YBCO grain boundary Josephson junctions coupled with coplanar waveguide-fed slot dipole antennas
