title,first-author,year,citation
Bit-Scalable Deep Hashing With Regularized Similarity Learning for Image Retrieval and Person Re-Identification,Ruimao Zhang,2015,70,https://ieeexplore.ieee.org/document/7185403/citations?tabFilter=papers
Brain Tumor Segmentation Using Convolutional Neural Networks in MRI Images,S&eacute;rgio Pereira,2016,69,https://ieeexplore.ieee.org/document/7426413/citations?tabFilter=papers
Hybrid Deep Learning for Face Verification,Yi Sun,2013,68,https://ieeexplore.ieee.org/document/6751295/citations?tabFilter=papers
Deep Learning Face Attributes in the Wild,Ziwei Liu,2015,66,https://ieeexplore.ieee.org/document/7410782/citations?tabFilter=papers
The Cityscapes Dataset for Semantic Urban Scene Understanding,Marius Cordts,2016,66,https://ieeexplore.ieee.org/document/7780719/citations?tabFilter=papers
Improving deep neural network acoustic models using generalized maxout networks,Xiaohui Zhang,2014,65,https://ieeexplore.ieee.org/document/6853589/citations?tabFilter=papers
Recurrent convolutional neural network for object recognition,Ming Liang,2015,65,https://ieeexplore.ieee.org/document/7298958/citations?tabFilter=papers
Accurate Image Super-Resolution Using Very Deep Convolutional Networks,Jiwon Kim,2016,64,https://ieeexplore.ieee.org/document/7780551/citations?tabFilter=papers
Salient Band Selection for Hyperspectral Image Classification via Manifold Ranking,Qi Wang,2016,64,https://ieeexplore.ieee.org/document/7436783/citations?tabFilter=papers
"Deep Representations for Iris, Face, and Fingerprint Spoofing Detection",David Menotti,2015,64,https://ieeexplore.ieee.org/document/7029061/citations?tabFilter=papers
New horizons in ambulatory electroencephalography,E. Waterhouse,2003,63,https://ieeexplore.ieee.org/document/1213629/citations?tabFilter=papers
Deep Belief Networks Based Voice Activity Detection,Xiao-Lei Zhang,2013,63,https://ieeexplore.ieee.org/document/6362186/citations?tabFilter=papers
Deep learning for monaural speech separation,Po-Sen Huang,2014,62,https://ieeexplore.ieee.org/document/6853860/citations?tabFilter=papers
Compressed-Domain Ship Detection on Spaceborne Optical Image Using Deep Neural Network and Extreme Learning Machine,Jiexiong Tang,2015,62,https://ieeexplore.ieee.org/document/6866146/citations?tabFilter=papers
Evolving artificial neural network ensembles,Xin Yao,2008,62,https://ieeexplore.ieee.org/document/4442253/citations?tabFilter=papers
R1-Soar: An Experiment in Knowledge-Intensive Programming in a Problem-Solving Architecture,Paul S. Rosenbloom,1985,61,https://ieeexplore.ieee.org/document/4767703/citations?tabFilter=papers
Learning Rotation-Invariant Convolutional Neural Networks for Object Detection in VHR Optical Remote Sensing Images,Gong Cheng,2016,61,https://ieeexplore.ieee.org/document/7560644/citations?tabFilter=papers
Switchable Deep Network for Pedestrian Detection,Ping Luo,2014,61,https://ieeexplore.ieee.org/document/6909515/citations?tabFilter=papers
Deep Learning for Content-Based Image Retrieval: A Comprehensive Study,Ji Wan,2014,60,https://ieeexplore.ieee.org/document/7660450/citations?tabFilter=papers
Application of Deep Belief Networks for Natural Language Understanding,Ruhi Sarikaya,2014,60,https://ieeexplore.ieee.org/document/6737243/citations?tabFilter=papers
Background Prior-Based Salient Object Detection via Deep Reconstruction Residual,Junwei Han,2015,59,https://ieeexplore.ieee.org/document/6987333/citations?tabFilter=papers
Unsupervised Learning of Visual Representations Using Videos,Xiaolong Wang,2015,59,https://ieeexplore.ieee.org/document/7410677/citations?tabFilter=papers
Machine Learning Paradigms for Speech Recognition: An Overview,Li Deng,2013,58,https://ieeexplore.ieee.org/document/6423821/citations?tabFilter=papers
Facial Expression Recognition via a Boosted Deep Belief Network,Ping Liu,2014,58,https://ieeexplore.ieee.org/document/6909629/citations?tabFilter=papers
Large-scale deep unsupervised learning using graphics processors,Rajat Raina,2009,57,https://ieeexplore.ieee.org/document/5886487/citations?tabFilter=papers
Locality Sensitive Deep Learning for Detection and Classification of Nuclei in Routine Colon Cancer Histology Images,Korsuk Sirinukunwattana,2016,57,https://ieeexplore.ieee.org/document/7399414/citations?tabFilter=papers
Scalable stacking and learning for building deep architectures,Li Deng,2012,57,https://ieeexplore.ieee.org/document/6288333/citations?tabFilter=papers
Stacked Sparse Autoencoder (SSAE) for Nuclei Detection on Breast Cancer Histopathology Images,Jun Xu,2016,56,https://ieeexplore.ieee.org/document/7163353/citations?tabFilter=papers
Cross-scene crowd counting via deep convolutional neural networks,Cong Zhang,2015,56,https://ieeexplore.ieee.org/document/7298684/citations?tabFilter=papers
Large-Scale Optimization of Hierarchical Features for Saliency Prediction in Natural Images,Eleonora Vig,2014,55,https://ieeexplore.ieee.org/document/6909754/citations?tabFilter=papers
A 240 G-ops/s Mobile Coprocessor for Deep Neural Networks,Vinayak Gokhale,2014,55,https://ieeexplore.ieee.org/document/6910056/citations?tabFilter=papers
Query Specific Rank Fusion for Image Retrieval,Shaoting Zhang,2015,55,https://ieeexplore.ieee.org/document/6873347/citations?tabFilter=papers
From Facial Parts Responses to Face Detection: A Deep Learning Approach,Shuo Yang,2015,55,https://ieeexplore.ieee.org/document/7410776/citations?tabFilter=papers
Lung Pattern Classification for Interstitial Lung Diseases Using a Deep Convolutional Neural Network,Marios Anthimopoulos,2016,54,https://ieeexplore.ieee.org/document/7422082/citations?tabFilter=papers
